reference_fiche;ndeg_de_version;nature_juridique_du_rappel;categorie_de_produit;sous_categorie_de_produit;nom_de_la_marque_du_produit;noms_des_modeles_ou_references;identification_des_produits;conditionnements;date_debut_fin_de_commercialisation;temperature_de_conservation;marque_de_salubrite;informations_complementaires;zone_geographique_de_vente;distributeurs;motif_du_rappel;risques_encourus_par_le_consommateur;preconisations_sanitaires;description_complementaire_du_risque;conduites_a_tenir_par_le_consommateur;numero_de_contact;modalites_de_compensation;date_de_fin_de_la_procedure_de_rappel;informations_complementaires_publiques;lien_vers_la_liste_des_images;lien_vers_la_liste_des_produits;lien_vers_l_affichette_pdf;date_ref
2021-03-0001;1;Volontaire;Vêtements, Mode, EPI;Bijouterie;LOU YETU;Bracelet RAFAELLA;Tous les lots;;;;;;France entière;"LOU YETU
Autres";Présence de plomb en quantité supérieure au seuil prévu par la réglementation européenne (REACH);Intoxication;;;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;Le consommateur est invité à cesser immédiatement l'utilisation de ce produit et à le rapporter au lieu d'achat contre remboursement.;http://rappel.conso.gouv.fr/image/99952f76-9ae6-4d17-ba0f-802628a97ba5.jpg;;http://rappel.conso.gouv.fr/affichettePDF/9/Interne;2021-03
2021-03-0002;1;Volontaire;Vêtements, Mode, EPI;Equipements de Protection Individuels;Careline Medisafe;Masques de protection KN95 (Référence : 65665);20200412;Boîte de 20 pièces;;;;;France entière;TOUS DISTRIBUTEURS;La filtration du masque n’est pas suffisante et présente donc un risque pour la santé de son utilisateur.;Dommages internes Intoxication;;;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/485617b7-eeb8-4a44-a4a8-9d296701406b.jpg;;http://rappel.conso.gouv.fr/affichettePDF/10/Interne;2021-03
2021-03-0003;1;Volontaire;Vêtements, Mode, EPI;Vêtements, textiles, accessoires de mode;Tajine Banane;sweat shirt Hoody Cantine gris Tajine Banane;Tous les lots;;;;;;France entière;TOUS DISTRIBUTEURS;Les embouts métalliques des cordons de la capuche peuvent se dessertir. Le vêtement est destiné à l'adulte mais sa fonction d'aide à l'allaitement entraine un risque au regard de la proximité de l'enfant avec sa mère.;Dommages internes Intoxication;;Risque d'ingestion;Ne plus utiliser le produit Contacter le service consommateur;;Echange;;;http://rappel.conso.gouv.fr/image/f0799218-f55d-4155-8d4c-efc65bfd088f.jpg;;http://rappel.conso.gouv.fr/affichettePDF/11/Interne;2021-03
2021-03-0004;1;Volontaire;Alimentation;Céréales et produits de boulangerie;Système U;Bagels Sésame;L0237 Date limite de consommation 12/11/2020  L0240 Date limite de consommation 15/11/2020  L0244 Date limite de consommation 19/11/2020;;;Produit à conserver à température ambiante;;;France entière;Système U;Présence d’un produit chimique, l’oxyde d’éthylène, à une teneur supérieure à la limite maximum réglementaire;Dépassement des limites autorisées de pesticides;;;Ne plus consommer;;Remboursement;;Les autorités sanitaires françaises ont été informées début septembre de la présence d’un produit chimique, l’oxyde d’éthylène, à une teneur supérieure à la limite maximum réglementaire dans certains lots de graines de sésame importées;http://rappel.conso.gouv.fr/image/937cc7be-cd8f-46d1-a350-483c9edc8b4f.jpg;;http://rappel.conso.gouv.fr/affichettePDF/12/Interne;2021-03
2021-03-0005;1;Volontaire;Automobiles et moyens de déplacement;Tous types d'accessoires;Formula Baby;Siège Auto Groupe 2/3 Formula Baby Select, modèles 370 017   370 102   370 108   370 096   370 074   370 103   370 109   370 097;Tous les lots;;;;;;France entière;TOUS DISTRIBUTEURS;La conception du siège peut entraîner un risque de blessures pour l’enfant;Blessures externes;;Le dispositif de retenue de l’enfant ne respecte pas les exigences réglementaires.;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/a2852c2f-9feb-4f6d-a195-91453a553f31.jpg;;http://rappel.conso.gouv.fr/affichettePDF/13/Interne;2021-03
2021-03-0006;1;Volontaire;Vêtements, Mode, EPI;Equipements de Protection Individuels;TRIBORD - DECATHLON;Produit acheté entre le 15 février 2021 et le 10 mars 2021;voir liste des produits en pièce jointe;;Du 15/02/2021 au 10/03/2021;;;Gilet de sauvetage TRIBORD LF150 N NEW marque TRIBORD - DECATHLON (acheté entre le 15/02/2021 et le 10/03/2021);France entière;Décathlon;Problème de sécurité concernant les cartouches de CO2. Celles-ci pourraient être vides, rendant le gonflage du gilet impossible. Dans ce cas, il existe un risque pour la sécurité du consommateur.;Blessures externes Dommages internes;;Dans de très rares cas, la cartouche de CO2 pourrait être vide rendant le gonflage du gilet impossible, ne lui permettant plus d’assurer sa fonction de sécurité dans l’eau;Contacter le point de vente;800710770;Remboursement;dimanche 19 septembre 2021;Il est demandé à l'utilisateur de suivre la procédure préconisée sur le document émanant de Décathlon, joint au présent rappel.;http://rappel.conso.gouv.fr/image/78b8f159-74db-4e69-ad6b-46dc7d314acb.jpg;http://rappel.conso.gouv.fr/document/bb2fb6df-9e0c-4b73-bafc-9df54fb8ce36/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/14/Interne;2021-03
2021-03-0007;1;Volontaire;Bébés-Enfants (hors alimentaire);Jouets;Aldi;Modèle correspondant au code barre 26095981;WKNF7481;;Du 12/09/2020 au 11/03/2021;;;jouet de bain à LED en forme d’animaux vendus dans les magasins ALDI du 12/9/2020 au 11/3/2021;France entière;Aldi;Risque de lésion oculaire, lié à la puissance de la LED bleue.;Blessures externes;;;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/75f60f9d-d76e-42a0-9f96-3952d82fba9d.jpg;;http://rappel.conso.gouv.fr/affichettePDF/15/Interne;2021-03
2021-03-0012;1;Volontaire;Alimentation;Lait et produits laitiers;NOS RÉGIONS ONT DU TALENT;VALENÇAY AU LAIT CRU DE CHÈVRE APPELLATION D'ORIGINE PROTÉGÉE 220 g;3564709006031 V028 Date de durabilité minimale 04/04/2021;blister transparent;Depuis le 17/02/2021;Produit à conserver au réfrigérateur;FR 36.004.001 CE;;France entière;E. LECLERC;présence de LISTERIA MONOCYTOGENES;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur;800874187;Remboursement;samedi 22 mai 2021;;http://rappel.conso.gouv.fr/image/6d8c2e42-8f73-48be-990e-236ffc464dd9.jpg;;http://rappel.conso.gouv.fr/affichettePDF/21/Interne;2021-03
2021-03-0024;1;Volontaire;Alimentation;Lait et produits laitiers;CLOS CHEVREL;220 g;3250390398028 V028 Date limite de consommation 03/04/2021;vente au rayon coupe;Du 12/02/2021 au 26/03/2021;Produit à conserver au réfrigérateur;FR 36.004.001 CE;;France entière;INTERMARCHE;présence possible de Listeria monocytogenes;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit;800352919;Remboursement;vendredi 9 avril 2021;;http://rappel.conso.gouv.fr/image/ea1d68cb-fa87-4ce9-9e0b-679260399cfc.jpg;;http://rappel.conso.gouv.fr/affichettePDF/33/Interne;2021-03
2021-03-0025;1;Volontaire;Alimentation;Lait et produits laitiers;FROMAGERIE ANJOUIN;VALENÇAY AU LAIT CRU APPELLATION D'ORIGINE PROTEGEE;3301170008504 V028 Date limite de consommation 03/04/2021;vente au rayon coupe;Du 15/02/2021 au 26/03/2021;Produit à conserver au réfrigérateur;FR 36.004.001 CE;;France entière;"- AUCHAN, CARREFOUR, SYSTEME U 
- détaillants";présence possible de Listeria monocytogenes;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit;800352919;Remboursement;vendredi 9 avril 2021;;http://rappel.conso.gouv.fr/image/72ca7995-53ad-40fa-bb7b-8f7ba962966b.jpg;;http://rappel.conso.gouv.fr/affichettePDF/34/Interne;2021-03
2021-03-0026;1;Volontaire;Maison-Habitat;Appareils à pression;Arthur Martin;modèle AM2240 (4 litres et 7 litres);3508510022552 Tous les lots;;;;;Lot de 2 autocuiseurs de 4 et 7 litres pour usage domestique vendus comme ensemble. Le même couvercle est utilisé pour les deux .;France entière;"Auchan
Boulanger";Ces autocuiseurs peuvent éclater lorsqu'ils sont sous pression;Blessures externes;;Possible ouverture du couvercle pendant qu’il est sous pression. Risque de déformation, de brûlures de vapeur, ou de fuite de liquide sur la flamme pouvant entraîner la libération de gaz naturel.;Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente;359305930;Remboursement;;les consommateurs ne doivent absolument plus utiliser ces autocuiseurs.;http://rappel.conso.gouv.fr/image/b95ce89a-cb6b-4780-8dfb-c724b72e652e.jpg http://rappel.conso.gouv.fr/image/f6486b38-fd9e-48f1-9a1d-8410c5de002b.jpg http://rappel.conso.gouv.fr/image/45352471-c4e7-406b-a2e1-fcbebe3f621e.jpg;;http://rappel.conso.gouv.fr/affichettePDF/35/Interne;2021-03
2021-03-0027;1;Volontaire;Maison-Habitat;Appareils à pression;Armétal;Autocuiseur  Les Maîtres Cuisiniers  NPL-DSC 2490;Tous les lots;;;;;Autocuiseur 9 litres doté d’un panier en acier inoxydable, à usage domestique.;France entière;TOUS DISTRIBUTEURS;Défaillance du système de sécurité. L'autocuiseur peut être ouvert alors qu'il est toujours sous pression.;Blessures externes Incendie;;L’utilisateur pourrait subir des brûlures ou des blessures. La vapeur ou le liquide peut également fuir sur la flamme du brûleur (risque d'incendie ou d'explosion);Ne plus utiliser le produit Contacter le point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/cfa056fc-e3a1-478f-8ceb-4a84cbfdb111.jpg http://rappel.conso.gouv.fr/image/42b2a249-af50-47da-88b1-134f1a74b2e7.jpg;;http://rappel.conso.gouv.fr/affichettePDF/36/Interne;2021-03
2021-03-0028;1;Imposé par l’administration;Maison-Habitat;Appareils à pression;Bäcken;Design DSW 22-7L;361240382116 Tous les lots;;;;;;France entière;TOUS DISTRIBUTEURS;Défaillance de sécurité : il est possible d'ouvrir cet autocuiseur pendant qu'il est sous pression;Blessures externes Incendie;;;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/1870d76f-beaa-4c25-a05e-60d14ff1f1fa.jpg http://rappel.conso.gouv.fr/image/df8d700a-2340-4f69-8641-9ca85a8b8978.jpg http://rappel.conso.gouv.fr/image/d667423c-91b2-4a19-8c66-f40ca0a9e90c.jpg http://rappel.conso.gouv.fr/image/9887b788-7e5e-4325-9e67-e229f044cf59.jpg;;http://rappel.conso.gouv.fr/affichettePDF/37/Interne;2021-03
2021-03-0029;1;Volontaire;Maison-Habitat;Appareils à pression;Ogo Living;Autocuiseur Gusto 7,5 l - DSD 22-7.5;3256390166643 Tous les lots;;;;;;France entière;TOUS DISTRIBUTEURS;Défaillance des systèmes de sécurité et d'ouverture. Du liquide chaud est susceptible de jaillir de l'autocuiseur;Blessures externes;;;Ne plus utiliser le produit;;Remboursement;;;http://rappel.conso.gouv.fr/image/fc2ce19d-a65e-4c52-9d50-c4a136b6dfe5.jpg http://rappel.conso.gouv.fr/image/af3f1b48-7dc0-43f3-8321-7d70506f2e6f.jpg;;http://rappel.conso.gouv.fr/affichettePDF/38/Interne;2021-03
2021-03-0030;1;Volontaire;Maison-Habitat;Appareils à pression;Tower;Autocuiseur Tower T90103 et T90101 (ASMB 22-6L, ASMB 22-3L, ASMB 22-4.5L et ASMB 22-7.5L);5055195872753 Tous les lots;;;;;Autocuiseurs de marque Tower, principalement vendus sur amazon, disponibles en plusieurs tailles (3L, 4,5L, 6L, et 7,5L);France entière;Amazon et autres;Possibilité d’ouvrir l’autocuiseur pendant son utilisation;Blessures externes Incendie;;;Ne plus utiliser le produit Contacter le point de vente Contacter le service consommateur;;Remboursement;;;http://rappel.conso.gouv.fr/image/c496a0f6-13f2-40f0-b6f9-cfc65932c092.jpg http://rappel.conso.gouv.fr/image/131efd83-13f0-4c08-a101-cfc8e7b87ca5.jpg http://rappel.conso.gouv.fr/image/7c412835-ace7-4dc9-a089-60ae104bfcd0.jpg http://rappel.conso.gouv.fr/image/1fe700ad-8f13-419f-900b-d1449d3ab3c1.jpg;;http://rappel.conso.gouv.fr/affichettePDF/39/Interne;2021-03
2021-03-0031;1;Imposé par l’administration;Maison-Habitat;Appareils à pression;Bäcken;Steamcook (DS24D2-8L);3611432680080 Tous les lots;;;;;;France entière;"Intermarché
Amazon
CDiscount
Autres";Défaillance du système de sécurité;Blessures externes;;;Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente;;Remboursement;;L’administration française invite les consommateurs à signaler les accidents survenus avec des autocuiseurs. rivilégiez, dans la mesure du possible, un premier contact par mail en écrivant à pole-esp-nord.dreal-hdf@developpement-durable.gouv.fr.;http://rappel.conso.gouv.fr/image/1fd3735a-4df1-42ea-944a-c5988bac68aa.jpg http://rappel.conso.gouv.fr/image/cc37daf5-263e-4aa5-88a1-a645e96b258e.jpg;;http://rappel.conso.gouv.fr/affichettePDF/40/Interne;2021-03
2021-03-0032;1;Volontaire;Maison-Habitat;Appareils à pression;Beka;Référence 16303764;Tous les lots;;;;;Numéro de traçabilité :  A1400323;France entière;TOUS DISTRIBUTEURS;Le couvercle se clipse mal sur le  corps  de l'autocuiseur;Blessures externes Incendie;;;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/8f40988c-f5e5-4d04-8785-8f87ed249cf6.jpg;;http://rappel.conso.gouv.fr/affichettePDF/41/Interne;2021-03
2021-03-0033;1;Imposé par l’administration;Maison-Habitat;Appareils à pression;Emma Home;Autocuiseur 7 litres;8003512661624 Tous les lots;;;;;;France entière;Amazon et autres;La soupape ne relâche pas la vapeur;Blessures externes;;;Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/8017d46d-df75-43b6-94b2-86796bddd12d.jpg http://rappel.conso.gouv.fr/image/25933fc5-e605-4306-b95d-b4b8d35bc933.jpg http://rappel.conso.gouv.fr/image/9ea7eb24-b5d5-4e4a-8e18-0d9c1c4414c9.jpg;;http://rappel.conso.gouv.fr/affichettePDF/42/Interne;2021-03
2021-03-0034;1;Volontaire;Maison-Habitat;Appareils à pression;Berlinger Haus;BH-1438;5999056790414 Tous les lots;Le produit est vendu dans une boîte en carton noir.;;;;Autocuiseur avec couvercle en plastique noir.;France entière;"CDiscount
Autres";Cet autocuiseur porte le marquage européen CE, mais n’a pas été certifié par un organisme compétent. Il pourrait donc être dangereux.;Blessures externes;;;Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/5490e4c6-914b-4724-a7c7-ef371b21b062.jpg http://rappel.conso.gouv.fr/image/61d2651a-fa1a-4917-89a9-e9215ff9732a.jpg http://rappel.conso.gouv.fr/image/ec9a3805-bfff-4c3a-ae49-cb6c239ccdd0.jpg http://rappel.conso.gouv.fr/image/683fed13-3a19-408b-aa8c-98d1f3bb1138.jpg http://rappel.conso.gouv.fr/image/5859ba6f-a38f-4d54-9830-20585da790cc.jpg;;http://rappel.conso.gouv.fr/affichettePDF/43/Interne;2021-03
2021-03-0035;1;Imposé par l’administration;Maison-Habitat;Appareils à pression;Berlinger Haus;"BH-1080 Version 6L
BH-1081 Version 8L";5999056762107 Tous les lots  5999056762084 Tous les lots;;;;;;France entière;"CDiscount
Autres";Cet autocuiseur porte le marquage européen CE, mais n’a pas été certifié par un organisme compétent. Il pourrait donc être dangereux.;Blessures externes;;;Ne plus utiliser le produit Contacter le point de vente Contacter le service consommateur;;Remboursement;;;http://rappel.conso.gouv.fr/image/095dea82-eeb8-4af7-a8ce-3c25ecdd7476.jpg http://rappel.conso.gouv.fr/image/1640e390-4543-4f2c-a0cc-833041913b46.jpg http://rappel.conso.gouv.fr/image/cce8e9c1-4f48-41d3-b131-31da388ee2a8.jpg http://rappel.conso.gouv.fr/image/7f1c5d36-96e4-4d1d-8b59-dbda374bd4b1.jpg http://rappel.conso.gouv.fr/image/d2127adb-f91e-4706-be13-d3ef88ff0961.jpg;;http://rappel.conso.gouv.fr/affichettePDF/44/Interne;2021-03
2021-03-0036;1;Imposé par l’administration;Maison-Habitat;Appareils à pression;Herzberg;"autocuiseur 8 litres (hg-ps8)
Existe également en 4, 6, 7 et 10 litres.";634158799044;;;;;Autocuiseur de 8 litres avec mécanisme de fermeture de type pince. Il existe également en 4, 6, 7, 10 litres.;France entière;TOUS DISTRIBUTEURS;Le couvercle risque d’être projeté ainsi que le contenu lorsqu’il est sous pression;Blessures externes;;En raison d’une défaillance du système de sécurité, le produit peut s’ouvrir sous pression et propulser le couvercle et le contenu, qui seraient à une température très élevée.;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/005e633d-90ff-4131-bda6-c2603e698ce8.jpg http://rappel.conso.gouv.fr/image/936477de-063d-4559-8bb9-f87eaa953d14.jpg http://rappel.conso.gouv.fr/image/f96f86eb-ec80-406e-a904-680bf729cbcc.jpg http://rappel.conso.gouv.fr/image/ae33d775-b4d2-4eb8-bc27-657e8242d94c.jpg http://rappel.conso.gouv.fr/image/494d427e-54fe-4e64-b035-f77cb35c5cf6.jpg;;http://rappel.conso.gouv.fr/affichettePDF/45/Interne;2021-03
2021-03-0037;1;Volontaire;Alimentation;Viandes;MAISON MILHAU;tranches _ poids total 200g;13289010001700 067101 et 067102 Date limite de consommation 13/04/2021;sous vide;Du 08/03/2021 au 17/03/2021;Produit à conserver au réfrigérateur;FR 81.124.012 CE;;France entière;AUCHAN, CARREFOUR, CASINO, INTERMARCHE, LEADER PRICE, LECLERC, SYSTEME U;risque de présence de Listeria monocytogenes;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur;563370603;Remboursement;mercredi 7 avril 2021;;http://rappel.conso.gouv.fr/image/fb837e1b-c7ed-45ef-b60c-20595a83ba64.jpg;;http://rappel.conso.gouv.fr/affichettePDF/46/Interne;2021-03
2021-03-0038;1;Volontaire;Alimentation;Viandes;Mmm!;6 tranches 100g;3596710380749 502028224 Date de durabilité minimale 12/05/2021;barquette plastique;Depuis le 01/03/2021;Produit à conserver au réfrigérateur;FR 01.336.001 CE;;France entière;AUCHAN;risque de présence de corps étrangers (particules métalliques);Inertes (verre, métal, plastique, papier, textile…);En raison du risque de blessures / effets indésirables suite à l'ingestion de ce produit, par précaution il est recommandé aux personnes qui détiendraient des produits appartenant au(x) lot(s) décrit(s) ci-dessus de ne pas les consommer.;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur Détruire le produit;359305930;Remboursement;;;http://rappel.conso.gouv.fr/image/4e197d6a-75e3-4a6b-a6c1-c8c48d849e14.jpg;;http://rappel.conso.gouv.fr/affichettePDF/47/Interne;2021-03
2021-03-0039;1;Volontaire;Alimentation;Plats préparés et snacks;THIRIET;"QUENELLES LYONNAISES NATURE _ réf. 82526 _ sac 1kg _ 25 x 40g
QUENELLES LYONNAISES BROCHET _ réf. 82524 _ sac 1kg _ 25 x 40g";3292590825263 Quenelles nature : lot L10500S Date de durabilité minimale 21/08/2022 3292590825249 Quenelles brochet : lot L10490S Date de durabilité minimale 20/08/2022;sachet plastique;Depuis le 03/03/2021;Produit à conserver au congélateur;FR 69.273.004 CE;;France entière;THIRIET;résidus de produits chimiques;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit;970820821;Remboursement;lundi 12 avril 2021;;http://rappel.conso.gouv.fr/image/9c8328d4-eefa-4e53-88be-5345af67271d.jpg http://rappel.conso.gouv.fr/image/8dc4292a-5592-4f47-9402-a0a02c4dbfb9.jpg;;http://rappel.conso.gouv.fr/affichettePDF/48/Interne;2021-03
2021-03-0040;1;Volontaire;Bébés-Enfants (hors alimentaire);Jouets;Media Diffusion;Livre  Vole, petite coccinelle !;9782897517564 Tous les lots;;;;;;France entière;TOUS DISTRIBUTEURS;Présence d'un petit élément (petit élément en textile rouge rembourré et compacté formant les antennes de la coccinelle) qui se détache et qui risque d’être ingéré par de petits enfants.;Inertes (verre, métal, plastique, papier, textile…);En raison du risque de blessures / effets indésirables suite à l'ingestion de ce produit, par précaution il est recommandé aux personnes qui détiendraient des produits appartenant au(x) lot(s) décrit(s) ci-dessus de ne pas les consommer.;;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/d2fba924-e15a-4e49-b99d-74ce46ad0804.jpg;;http://rappel.conso.gouv.fr/affichettePDF/49/Interne;2021-03
2021-03-0041;1;Volontaire;Alimentation;Plats préparés et snacks;TOUPARGEL;QUENELLES VOLAILLE FAÇON TRAITEUR_0,960 kg_12 x 80g;3153571727559 L10400S Date de durabilité minimale 11/08/2022;sachet plastique;;Produit à conserver au congélateur;FR 69.273.004 CE;;France entière;TOUPARGEL;résidus de produits chimiques;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit;805805910;Autre (voir informations complémentaires);;modalités de compensation : le compte client sera crédité d'un bon d'achat du montant du produit rappelé;http://rappel.conso.gouv.fr/image/71d9ba18-e216-449a-b0a8-a1c0075c549c.jpg;;http://rappel.conso.gouv.fr/affichettePDF/50/Interne;2021-03
2021-04-0001;1;Volontaire;Alimentation;Plats préparés et snacks;CARREFOUR;COLUMBO DE LEGUMES EN BOCAL 530g;3560070544684 Tous les lots Date de durabilité minimale 29/12/2023 3560070544684 Tous les lots Date de durabilité minimale 20/01/2024 3560070544684 Tous les lots Date de durabilité minimale 22/02/2024;BOCAL 530g;;Produit à conserver à température ambiante;EMB 28280A;;France entière;Carrefour, réseaux distribuant les produits à marque Carrefour.;Contaminants chimiques - OXYDE D'ETHYLENE;Autres contaminants chimiques;;Rappel suite à une alerte du fabricant concernant la présente potentielle d'oxyde d'éthylène à une teneur supérieure à la limite maximum réglementaire.;Ne plus consommer Rapporter le produit au point de vente;969397000;Remboursement;lundi 24 mai 2021;Ne pas consommer le produit. Le détruire ou le rapporter à l'accueil du magasin pour remboursement.;http://rappel.conso.gouv.fr/image/aa34e14a-87fc-402d-9b6b-305e77720e19.jpg;;http://rappel.conso.gouv.fr/affichettePDF/51/Interne;2021-04
2021-04-0002;1;Volontaire;Alimentation;Lait et produits laitiers;FROMAGERIE GUILLAUME;SAINT-NECTAIRE FERMIER;1AAV6 / 2AAV6 Date de durabilité minimale 22/04/2021;Vente à la coupe.;Depuis le 08/03/2021;Produit à conserver au réfrigérateur;FR 63.234.002 CE;Les détaillants ayant reçu le produit concerné par le rappel ont été informés par la Fromagerie Guillaume. En conséquence, ils ont mis une place une affichette de rappel pour informer leur clientèle.;France entière;Magasins indépendants (vente au détail en fromagerie).;présence de SALMONELLES;Salmonella spp (agent responsable de la salmonellose);Les toxi-infections alimentaires causées par les salmonelles se traduisent par des troubles gastro-intestinaux (diarrhée, vomissements) d'apparition brutale souvent accompagnés de fièvre et de maux de tête qui surviennent généralement 6h à 72h après la consommation des produits contaminés.  Ces symptômes peuvent être plus prononcés chez les jeunes enfants, les femmes enceintes, les sujets immunodéprimés et les personnes âgées. Les personnes qui auraient consommé ces produits et qui présenteraient ces symptômes sont invitées à consulter leur médecin traitant en lui signalant cette consommation. En l'absence de symptômes dans les 7 jours après la consommation des produits concernés, il est inutile de s'inquiéter et de consulter un médecin. Si le produit doit subir une cuisson avant consommation : la cuisson à cœur des produits (œufs durs, pâtisseries, viandes de volailles…) à +65°C permet de détruire ces bactéries et de prévenir les conséquences d'une telle contamination.;;Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit;473967310;Remboursement;;;http://rappel.conso.gouv.fr/image/5fa7b027-34f5-4110-8be3-5bb7c33fddb2.jpg;;http://rappel.conso.gouv.fr/affichettePDF/52/Interne;2021-04
2021-04-0004;2;Volontaire;Alimentation;Autres;MARQUE NEUTRE;"BOUCHÉE A LA REINE   
BOUCHÉE A LA REINE x 2  
BOUCHÉE GOURMANDE A LA REINE";3273230247805 01810453 Date limite de consommation 26/03/2021 3273230247805 01817052 Date limite de consommation 28/03/2021 3273230247805 01829677 Date limite de consommation 02/04/2021 3273230247805 01836276 Date limite de consommation 04/04/2021 3273230247805 01842371 Date limite de consommation 05/04/2021 3273230241698 01810453 Date limite de consommation 26/03/2021 3273230241698 01817052 Date limite de consommation 28/03/2021 3273230241698 01829677 Date limite de consommation 02/04/2021 3273230241698 01836276 Date limite de consommation 04/04/2021 3273230241698 01842371 Date limite de consommation 05/04/2021 3273230247997 01797981 Date limite de consommation 21/03/2021 3273230247997 01803960 Date limite de consommation 22/03/2021 3273230247997 01810451 Date limite de consommation 26/03/2021 3273230247997 01817049 Date limite de consommation 26/03/2021 3273230247997 01829675 Date limite de consommation 02/04/2021 3273230247997 01836274 Date limite de consommation 04/04/2021 3273230247997 01842369 Date limite de consommation 05/04/2021;VENTE AU RAYON TRADITIONNEL;Du 05/03/2021 au 26/03/2021;Produit à conserver au réfrigérateur;FR 29.233.001 CE;;France entière;COSTCO, DPA LOCATELLI, FRAVAL, LECLERC, LKB, MONOPRIX;potentielle contamination par des résidus de produits chimiques;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit;800216085;Remboursement;samedi 10 avril 2021;;http://rappel.conso.gouv.fr/image/0c805499-2d0a-4e23-b536-2dbf62786b5f.jpg;;http://rappel.conso.gouv.fr/affichettePDF/55/Interne;2021-04
